Sequence.Name,SYMBOL,Sequence.Description,Enzyme.Code
AT1G23310,GGT1,Identified by cloning the gene that corresponded to a purified protein having glyoxylate aminotransferase activity. Localized to the peroxisome and thought to be involved in photorespiration/ metabolic salvage pathway.,EC:2.6.1.2
AT1G23360,MENG,"Encodes a 2-phytyl-1,4-naphthoquinone methyltransferase that catalyzes the final step in phylloquinone (vitamin K1) biosynthesis.",EC:2.1.1
AT1G23465,AtIMP1b,NA,EC:3.4.99
AT1G23730,ATBCA3,NA,EC:4.2.1.1
AT1G23730,BCA3,NA,EC:4.2.1.1
AT1G23800,ALDH2B,Encodes a mitochondrial aldehyde dehydrogenase; nuclear gene for mitochondrial product.,EC:1.2.1.3
AT1G23800,ALDH2B7,Encodes a mitochondrial aldehyde dehydrogenase; nuclear gene for mitochondrial product.,EC:1.2.1.3
AT1G23820,SPDS1,Spermidine synthase.,EC:2.5.1.16
AT1G24100,UGT74B1,"Encodes a UDP-glucose:thiohydroximate S-glucosyltransferase, involved in glucosinolate biosynthesis",EC:2.4.1.195
AT1G24110,NA,NA,EC:1.11.1.7
AT1G24180,IAR4,"Arabidopsis thaliana pyruvate dehydrogenase E1a-like subunit. 81% identical to a previously characterized Arabidopsis mitochondrial PDH E1a-subunit, At1g59900",EC:1.2.4.1
AT1G24280,G6PD3,Encodes a plastidic glucose-6-phosphate dehydrogenase that is sensitive to reduction by DTT and whose mRNA is most highly expressed in root.,EC:1.1.1.49
AT1G24320,NA,NA,EC:3.2.1.106
AT1G24360,KR,NA,EC:1.1.1.100
AT1G24735,NA,NA,EC:2.1.1.104
AT1G24807,NA,NA,EC:4.1.3.27
AT1G24909,NA,NA,EC:4.1.3.27
AT1G25083,NA,NA,EC:4.1.3.27
AT1G25155,NA,NA,EC:4.1.3.27
AT1G25220,ASB1,Catalyzes the first step of tryptophan biosynthesis: Chorismate L-Glutamine = Anthranilate Pyruvate L-Glutamate. Functions as a heterocomplex with anthranilate synthase alpha subunit (ASA1 or ASA2).,EC:4.1.3.27
AT1G25220,TRP4,Catalyzes the first step of tryptophan biosynthesis: Chorismate L-Glutamine = Anthranilate Pyruvate L-Glutamate. Functions as a heterocomplex with anthranilate synthase alpha subunit (ASA1 or ASA2).,EC:4.1.3.27
AT1G25220,WEI7,Catalyzes the first step of tryptophan biosynthesis: Chorismate L-Glutamine = Anthranilate Pyruvate L-Glutamate. Functions as a heterocomplex with anthranilate synthase alpha subunit (ASA1 or ASA2).,EC:4.1.3.27
AT1G25350,OVA9,NA,EC:6.1.1.18
AT1G26560,BGLU40,NA,EC:3.2.1.21
AT1G26570,ATUGD1,NA,EC:1.1.1.22
AT1G26570,UGD1,NA,EC:1.1.1.22
AT1G27320,AHK3,"Encodes a histidine kinases, a cytokinin receptor that controls cytokinin-mediated leaf longevity through a specific phosphorylation of the response regulator, ARR2.",EC:2.7.13.3
AT1G27320,HK3,"Encodes a histidine kinases, a cytokinin receptor that controls cytokinin-mediated leaf longevity through a specific phosphorylation of the response regulator, ARR2.",EC:2.7.13.3
AT1G27320,ROCK3,"Encodes a histidine kinases, a cytokinin receptor that controls cytokinin-mediated leaf longevity through a specific phosphorylation of the response regulator, ARR2.",EC:2.7.13.3
AT1G27450,APT1,"Adenosine phosphoribosyl transferase(E.C:2.4.2.7), involved in the one-step salvage of adenine to AMP.",EC:2.4.2.7
AT1G27450,ATAPT1,"Adenosine phosphoribosyl transferase(E.C:2.4.2.7), involved in the one-step salvage of adenine to AMP.",EC:2.4.2.7
AT1G27680,APL2,"ADP-glucose pyrophosphorylase catalyzes the first, rate limiting step in starch biosynthesis. The large subunit plays a regulatory role whereas the small subunit (ApS) is the catalytic isoform. Four isoforms of the large subunit (ApL1-4) have been described.Mutational analysis of APS1 suggests that APL1 and APL2 can compensate for loss of APS1 catalytic activity,suggesting both have catalytic as well as regulatory functions.",EC:2.7.7.27
AT1G27980,ATDPL1,NA,EC:4.1.2.27
AT1G27980,DPL1,NA,EC:4.1.2.27
AT1G28090,NA,NA,EC:3.1.4
AT1G28090,NA,NA,EC:3.1.3
AT1G28090,NA,NA,EC:2.7.7.72
AT1G29410,PAI3,Encodes phosphoribosylanthranilate isomerase which catalyzes the third step in tryptophan biosynthesis.,EC:5.3.1.24
AT1G29630,NA,NA,EC:3.1
AT1G29870,NA,NA,EC:6.1.1.14
AT1G29880,NA,NA,EC:6.1.1.14
AT1G29900,CARB,"carbamoyl phosphate synthetase large chain (CARB) mRNA,",EC:6.3.5.5
AT1G29900,VEN3,"carbamoyl phosphate synthetase large chain (CARB) mRNA,",EC:6.3.5.5
AT1G29940,NRPA2,Encodes a subunit of RNA polymerase 1 (aka RNA polymerase A).,EC:2.7.7.6
AT1G29960,NA,NA,EC:3.4.99
AT1G30000,MNS3,NA,EC:3.2.1.113
AT1G30100,ATNCED5,"Encodes 9-cis-epoxycarotenoid dioxygenase, a key enzyme in the biosynthesis of abscisic acid. The expression of this gene increases during the first 6h of imbibition.",EC:1.13.11.51
AT1G30100,NCED5,"Encodes 9-cis-epoxycarotenoid dioxygenase, a key enzyme in the biosynthesis of abscisic acid. The expression of this gene increases during the first 6h of imbibition.",EC:1.13.11.51
AT1G30120,PDH-E1,Encodes a putative plastid pyruvate dehydrogenase E1 beta subunit that is distinct from the mitochondrial pyruvate dehydrogenase E1 beta subunit.,EC:1.2.4.1
AT1G30350,NA,NA,EC:4.2.2.2
AT1G30510,ATRFNR2,Encodes a root-type ferredoxin:NADP(H) oxidoreductase.,EC:1.18.1.2
AT1G30510,RFNR2,Encodes a root-type ferredoxin:NADP(H) oxidoreductase.,EC:1.18.1.2
AT1G30530,UGT78D1,The At1g30530 gene encodes a UDP-rhamnose:flavonol-3-O-rhamnosyltransferase (UGT78D1) attaching a rhamnosyl residue to the 3-O-position of the flavonols kaempferol and quercetin,EC:2.4.1.159
AT1G30620,HSR8,"encodes a type-II membrane protein that catalyzes 4-epimerization of UDP-D-Xylose to UDP-L-Arabinose in vitro, the nucleotide sugar used by glycosyltransferases in the arabinosylation of cell wall polysaccharides and wall-resident proteoglycans.",EC:5.1.3.5
AT1G30620,MUR4,"encodes a type-II membrane protein that catalyzes 4-epimerization of UDP-D-Xylose to UDP-L-Arabinose in vitro, the nucleotide sugar used by glycosyltransferases in the arabinosylation of cell wall polysaccharides and wall-resident proteoglycans.",EC:5.1.3.5
AT1G30620,UXE1,"encodes a type-II membrane protein that catalyzes 4-epimerization of UDP-D-Xylose to UDP-L-Arabinose in vitro, the nucleotide sugar used by glycosyltransferases in the arabinosylation of cell wall polysaccharides and wall-resident proteoglycans.",EC:5.1.3.5
AT1G30820,CTPS1,NA,EC:6.3.4.2
AT1G30870,PER7,NA,EC:1.11.1.7
AT1G31070,GLCNA.UT1,Encodes a protein that functions as an N-acetylglucosamine-1-phosphate uridylyltransferase that catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc). This is an essential precursor for glycolipid and glycoprotein synthesis and is also used for regulatory protein modification in signaling pathways. The enzyme can also catalyze the reverse reaction using both UDP-GlcNAc and the less common UDP-N-acetylgalactosamine as substrates.,EC:2.7.7.23
AT1G31070,GlcNAc1pUT1,Encodes a protein that functions as an N-acetylglucosamine-1-phosphate uridylyltransferase that catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc). This is an essential precursor for glycolipid and glycoprotein synthesis and is also used for regulatory protein modification in signaling pathways. The enzyme can also catalyze the reverse reaction using both UDP-GlcNAc and the less common UDP-N-acetylgalactosamine as substrates.,EC:2.7.7.23
AT1G31180,ATIMD3,The AtIMD3 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids.,EC:1.1.1.85
AT1G31180,IMD3,The AtIMD3 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids.,EC:1.1.1.85
AT1G31180,IMDH3,The AtIMD3 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids.,EC:1.1.1.85
AT1G31180,IPMDH1,The AtIMD3 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids.,EC:1.1.1.85
AT1G31190,IMPL1,Encodes a myo-inositol monophosphatase IMPL1 (myo-Inositol monophosphatase like 1).,EC:3.1.3.25
AT1G31220,NA,N10-formyltetrahydrofolate-dependent phosphoribosylglycinamide formyltransferase that catalyzes the conversion of phosphoribosyl glycineamide to phosphoribosyl N-formylglycineamide,EC:2.1.2.2
AT1G31230,AK-HSDH,"Encodes a bifunctional aspartate kinase/homoserine dehydrogenase.  These two activities catalyze the first and the third steps toward the synthesis of the essential amino acids threonine, isoleucine and methionine.",EC:1.1.1.3
AT1G31230,AK-HSDH,"Encodes a bifunctional aspartate kinase/homoserine dehydrogenase.  These two activities catalyze the first and the third steps toward the synthesis of the essential amino acids threonine, isoleucine and methionine.",EC:2.7.2.4
AT1G31860,AT-IE,encodes a bifunctional protein that has phosphoribosyl-ATP pyrophosphohydrolase (PRA-PH) and phosphoribosyl-AMP cyclohydrolase (PRA-CH) activities.,EC:3.5.4.19
AT1G31860,AT-IE,encodes a bifunctional protein that has phosphoribosyl-ATP pyrophosphohydrolase (PRA-PH) and phosphoribosyl-AMP cyclohydrolase (PRA-CH) activities.,EC:3.6.1.31
AT1G31860,HISN2,encodes a bifunctional protein that has phosphoribosyl-ATP pyrophosphohydrolase (PRA-PH) and phosphoribosyl-AMP cyclohydrolase (PRA-CH) activities.,EC:3.5.4.19
AT1G31860,HISN2,encodes a bifunctional protein that has phosphoribosyl-ATP pyrophosphohydrolase (PRA-PH) and phosphoribosyl-AMP cyclohydrolase (PRA-CH) activities.,EC:3.6.1.31
AT1G31910,NA,NA,EC:2.7.4.2
AT1G32060,PRK,NA,EC:2.7.1.19
AT1G32200,ACT1,Encodes a chloroplast glycerol-3-phosphate acyltransferase.Involved in the biosynthesis of chloroplast phosphatidylglycerol.,EC:2.3.1.15
AT1G32200,ATS1,Encodes a chloroplast glycerol-3-phosphate acyltransferase.Involved in the biosynthesis of chloroplast phosphatidylglycerol.,EC:2.3.1.15
AT1G32380,PRS2,Encodes a P-dependent phosphoribosyl pyrophosphate (PRPP) synthase.,EC:2.7.6.1
AT1G32440,PKp3,encodes a chloroplast pyruvate kinase beta subunit. The enzyme is less active than the other chloroplast pyruvate kinase beta subunit encoded by AT5G52920. Involved in seed oil biosynthesis. Can partially complement the AT5G52920 mutant.,EC:2.7.1.40
AT1G32480,IDH-IV,"Predicted to encode a protein related isocitrate dehydrogenases, but it appears to be missing the sequences encoding the  N-terminal portion of the protein.",EC:1.1.1.41
AT1G32490,EMB2733,"Encodes a homolog of the yeast PRP2 protein, one of four related DEAH RNA helicases identified as essential cofactors for RNA splicing.",EC:3.6.4.13
AT1G32490,ESP3,"Encodes a homolog of the yeast PRP2 protein, one of four related DEAH RNA helicases identified as essential cofactors for RNA splicing.",EC:3.6.4.13
AT1G32490,GSM1,"Encodes a homolog of the yeast PRP2 protein, one of four related DEAH RNA helicases identified as essential cofactors for RNA splicing.",EC:3.6.4.13
AT1G32490,RSW12,"Encodes a homolog of the yeast PRP2 protein, one of four related DEAH RNA helicases identified as essential cofactors for RNA splicing.",EC:3.6.4.13
AT1G32710,NA,NA,EC:1.9.3.1
AT1G32780,NA,NA,EC:1.1.1.1
AT1G33320,NA,NA,EC:2.5.1.48
AT1G34130,STT3B,"Encodes homolog of yeast STT3, a subunit of oligosaccharyltransferase.",EC:2.4.1.119
AT1G34430,EMB3003,NA,EC:2.3.1.12
AT1G34510,PRX8,NA,EC:1.11.1.7
AT1G35670,ATCDPK2,"Encodes a Ca(2+)-dependent, calmodulin-independent protein kinase that is rapidly induced by drought and high-salt stress but not by low-temperature stress or heat stress. Positive regulator of ABA signaling. Phosphorylates ABA responsive transcription factors ABF1 and ABF4.",EC:2.7.11.1
AT1G35670,ATCPK11,"Encodes a Ca(2+)-dependent, calmodulin-independent protein kinase that is rapidly induced by drought and high-salt stress but not by low-temperature stress or heat stress. Positive regulator of ABA signaling. Phosphorylates ABA responsive transcription factors ABF1 and ABF4.",EC:2.7.11.1
AT1G35670,CDPK2,"Encodes a Ca(2+)-dependent, calmodulin-independent protein kinase that is rapidly induced by drought and high-salt stress but not by low-temperature stress or heat stress. Positive regulator of ABA signaling. Phosphorylates ABA responsive transcription factors ABF1 and ABF4.",EC:2.7.11.1
AT1G35670,CPK11,"Encodes a Ca(2+)-dependent, calmodulin-independent protein kinase that is rapidly induced by drought and high-salt stress but not by low-temperature stress or heat stress. Positive regulator of ABA signaling. Phosphorylates ABA responsive transcription factors ABF1 and ABF4.",EC:2.7.11.1
AT1G36160,115D-4A,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.3.4.14
AT1G36160,115D-4A,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.4.1.2
AT1G36160,ACC1,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.3.4.14
AT1G36160,ACC1,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.4.1.2
AT1G36160,AT-ACC1,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.3.4.14
AT1G36160,AT-ACC1,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.4.1.2
AT1G36160,EMB22,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.3.4.14
AT1G36160,EMB22,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.4.1.2
AT1G36160,GK,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.3.4.14
AT1G36160,GK,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.4.1.2
AT1G36160,GSD1,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.3.4.14
AT1G36160,GSD1,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.4.1.2
AT1G36160,PAS3,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.3.4.14
AT1G36160,PAS3,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.4.1.2
AT1G36160,SFR3,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.3.4.14
AT1G36160,SFR3,Encodes acetyl-CoA carboxylase. Mutant displays uncoordinated cell divisions which are enhanced by cytokinins. Mutant also has aberrant organization of the apical region in the embryo and abnormal root and shoot development. Essential for very long chain fatty acid elongation.,EC:6.4.1.2
AT1G36280,NA,NA,EC:4.3.2.2
AT1G36340,UBC31,NA,EC:6.3.2.19
AT1G36370,MSA1,Encodes a putative serine hydroxymethyltransferase.,EC:2.1.2.1
AT1G36370,SHM7,Encodes a putative serine hydroxymethyltransferase.,EC:2.1.2.1
AT1G37130,ATNR2,Identified as a mutant resistant to chlorate. Encodes nitrate reductase structural gene. Involved in nitrate assimilation. Has nitrate reductase activity. Up-regulated by the fungus P. indica. Binds transcription factor At2g35940.,EC:1.7.1.1
AT1G37130,B29,Identified as a mutant resistant to chlorate. Encodes nitrate reductase structural gene. Involved in nitrate assimilation. Has nitrate reductase activity. Up-regulated by the fungus P. indica. Binds transcription factor At2g35940.,EC:1.7.1.1
AT1G37130,CHL3,Identified as a mutant resistant to chlorate. Encodes nitrate reductase structural gene. Involved in nitrate assimilation. Has nitrate reductase activity. Up-regulated by the fungus P. indica. Binds transcription factor At2g35940.,EC:1.7.1.1
AT1G37130,NIA2,Identified as a mutant resistant to chlorate. Encodes nitrate reductase structural gene. Involved in nitrate assimilation. Has nitrate reductase activity. Up-regulated by the fungus P. indica. Binds transcription factor At2g35940.,EC:1.7.1.1
AT1G37130,NIA2-1,Identified as a mutant resistant to chlorate. Encodes nitrate reductase structural gene. Involved in nitrate assimilation. Has nitrate reductase activity. Up-regulated by the fungus P. indica. Binds transcription factor At2g35940.,EC:1.7.1.1
AT1G37130,NR,Identified as a mutant resistant to chlorate. Encodes nitrate reductase structural gene. Involved in nitrate assimilation. Has nitrate reductase activity. Up-regulated by the fungus P. indica. Binds transcription factor At2g35940.,EC:1.7.1.1
AT1G37130,NR2,Identified as a mutant resistant to chlorate. Encodes nitrate reductase structural gene. Involved in nitrate assimilation. Has nitrate reductase activity. Up-regulated by the fungus P. indica. Binds transcription factor At2g35940.,EC:1.7.1.1
AT1G42970,GAPB,"Encodes chloroplast localized glyceraldehyde-3-phosphate dehydrogenase that can use both NADH and NADPH to reduce 1,3-diphosphate glycerate. It forms A2B2 heterotetramers with GapA forms of the GADPH enzyme. These complexes are active in the light under reducing conditions, but show reduced NADPH-dependent activity in response to oxidized thioredoxins and increased NAD(H)/NADP(H) ratios due to the formation of inactive A8B8 hexadecamers.",EC:1.2.1.13
AT1G43670,AtcFBP,NA,EC:3.1.3.11
AT1G43670,cyfbp,NA,EC:3.1.3.11
AT1G43670,FBP,NA,EC:3.1.3.11
AT1G43670,FINS1,NA,EC:3.1.3.11
AT1G43710,ATSDC1,NA,EC:4.1.1.22
AT1G43710,EMB1075,NA,EC:4.1.1.22
AT1G43710,SDC1,NA,EC:4.1.1.22
AT1G43800,AAD6,NA,EC:1.14.19.2
AT1G43800,FTM1,NA,EC:1.14.19.2
AT1G43800,HUP7,NA,EC:1.14.19.2
AT1G43800,SAD6,NA,EC:1.14.19.2
AT1G44170,ALDH3H1,Encodes a protein similar to the aldehyde dehydrogenase cp-ADH from C.plantagineum. Constitutively expressed at low levels.,EC:1.2.1.3
AT1G44170,ALDH4,Encodes a protein similar to the aldehyde dehydrogenase cp-ADH from C.plantagineum. Constitutively expressed at low levels.,EC:1.2.1.3
AT1G44180,NA,NA,EC:3.5.1.14
AT1G44318,hemb2,NA,EC:4.2.1.24
AT1G44446,ATCAO,"Encodes chlorophyllide <i>a</i> oxygenase which converts chlorophyllide <i>a</i> to chlorophyllide <i>b</i> by catalyzing two successive hydroxylations at the 7-methyl group of chlorophyllide <i>a</i> .  Mutants are deficient in pigments that associate with thylakoid membrane proteins, lacking chlorophyll <i>b</i> and light-harvesting proteins of photosystem II. The protein was shown through cross-linking experiments to interact with Toc75, Toc34, Tic40, Tic20 and Tic22.",EC:1.13.12.14
AT1G44446,CAO,"Encodes chlorophyllide <i>a</i> oxygenase which converts chlorophyllide <i>a</i> to chlorophyllide <i>b</i> by catalyzing two successive hydroxylations at the 7-methyl group of chlorophyllide <i>a</i> .  Mutants are deficient in pigments that associate with thylakoid membrane proteins, lacking chlorophyll <i>b</i> and light-harvesting proteins of photosystem II. The protein was shown through cross-linking experiments to interact with Toc75, Toc34, Tic40, Tic20 and Tic22.",EC:1.13.12.14
AT1G44446,CH1,"Encodes chlorophyllide <i>a</i> oxygenase which converts chlorophyllide <i>a</i> to chlorophyllide <i>b</i> by catalyzing two successive hydroxylations at the 7-methyl group of chlorophyllide <i>a</i> .  Mutants are deficient in pigments that associate with thylakoid membrane proteins, lacking chlorophyll <i>b</i> and light-harvesting proteins of photosystem II. The protein was shown through cross-linking experiments to interact with Toc75, Toc34, Tic40, Tic20 and Tic22.",EC:1.13.12.14
AT1G44820,NA,NA,EC:3.5.1.14
AT1G44970,PER9,NA,EC:1.11.1.7
AT1G44970,PRX9,NA,EC:1.11.1.7
AT1G45050,ATUBC2-1,member of ubiquitin-conjugating E2-proteins,EC:6.3.2.19
AT1G45050,UBC15,member of ubiquitin-conjugating E2-proteins,EC:6.3.2.19
AT1G45231,TGS1,NA,EC:2.1.1
AT1G47250,PAF2,Encodes 20S proteasome subunit PAF2 (PAF2).,EC:3.4.25.1
AT1G47840,HXK3,Encodes a putative hexokinase.,EC:2.7.1.1
AT1G48030,mtLPD1,Encodes a mitochondrial lipoamide dehydrogenase whose expression is induced by light.,EC:1.8.1.4
AT1G48130,ATPER1,encodes a protein similar to the 1-cysteine (1-Cys) peroxiredoxin family of antioxidants. Expression is limited to seed (aleurone and embryo) and is not induced by ABA or drought.,EC:3.1.1
AT1G48130,ATPER1,encodes a protein similar to the 1-cysteine (1-Cys) peroxiredoxin family of antioxidants. Expression is limited to seed (aleurone and embryo) and is not induced by ABA or drought.,EC:1.11.1.15
AT1G48130,ATPER1,encodes a protein similar to the 1-cysteine (1-Cys) peroxiredoxin family of antioxidants. Expression is limited to seed (aleurone and embryo) and is not induced by ABA or drought.,EC:1.11.1.7
AT1G48130,PER1,encodes a protein similar to the 1-cysteine (1-Cys) peroxiredoxin family of antioxidants. Expression is limited to seed (aleurone and embryo) and is not induced by ABA or drought.,EC:3.1.1
AT1G48130,PER1,encodes a protein similar to the 1-cysteine (1-Cys) peroxiredoxin family of antioxidants. Expression is limited to seed (aleurone and embryo) and is not induced by ABA or drought.,EC:1.11.1.15
AT1G48130,PER1,encodes a protein similar to the 1-cysteine (1-Cys) peroxiredoxin family of antioxidants. Expression is limited to seed (aleurone and embryo) and is not induced by ABA or drought.,EC:1.11.1.7
AT1G48470,GLN1;5,Encodes cytosolic glutamine synthase isozyme.  Expression of mRNA is not detectable in roots.,EC:6.3.1.2
AT1G48520,GATB,Encodes Glu-tRNA(Gln) amidotransferase subunit B (from Genbank record AF239836).,EC:6.3.5.7
AT1G48520,GATB,Encodes Glu-tRNA(Gln) amidotransferase subunit B (from Genbank record AF239836).,EC:6.3.5.6
AT1G48605,ATHAL3B,"Encodes a protein similar to yeast HAL3, which regulates the cell cycle and tolerance to salt stress through inhibition of the PPZ1 type-1 protein phosphatase. AtHAL3b mRNA levels are induced by salt stress.  HAL3B presumably encodes for phosphopantothenoylcysteine decarboxylase being involved in Coenzyme A biosynthesis as indicated by functional complementation of a double mutant hal3 aaBb.",EC:4.1.1.36
AT1G48605,HAL3,"Encodes a protein similar to yeast HAL3, which regulates the cell cycle and tolerance to salt stress through inhibition of the PPZ1 type-1 protein phosphatase. AtHAL3b mRNA levels are induced by salt stress.  HAL3B presumably encodes for phosphopantothenoylcysteine decarboxylase being involved in Coenzyme A biosynthesis as indicated by functional complementation of a double mutant hal3 aaBb.",EC:4.1.1.36
AT1G48605,HAL3B,"Encodes a protein similar to yeast HAL3, which regulates the cell cycle and tolerance to salt stress through inhibition of the PPZ1 type-1 protein phosphatase. AtHAL3b mRNA levels are induced by salt stress.  HAL3B presumably encodes for phosphopantothenoylcysteine decarboxylase being involved in Coenzyme A biosynthesis as indicated by functional complementation of a double mutant hal3 aaBb.",EC:4.1.1.36
AT1G48790,AMSH1,NA,EC:3.1.2.15
AT1G48850,EMB1144,NA,EC:4.2.3.5
AT1G48860,EPSPS,NA,EC:2.5.1.19
AT1G49140,NA,NA,EC:1.6.99.3
AT1G49140,NA,NA,EC:1.6.5.3
AT1G49250,LIG,NA,EC:6.5.1.1
AT1G49340,ATPI4K,Encodes a phosphatidylinositol 4-kinase that is expressed in inflorescences and shoots.,EC:2.7.1.67
AT1G49430,LACS2,Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation.,EC:6.2.1.3
AT1G49430,LRD2,Encodes a long chain acyl-CoA synthetase that catalyzes the synthesis of omega-hydroxy fatty acyl-CoA intermediates in the pathway to cutin synthesis. Required for repression of lateral root formation.,EC:6.2.1.3
AT1G49530,GFPPS3,encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase,EC:2.5.1.29
AT1G49530,GFPPS3,encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase,EC:2.5.1.10
AT1G49530,GFPPS3,encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase,EC:2.5.1.1
AT1G49530,GGPPS1,encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase,EC:2.5.1.29
AT1G49530,GGPPS1,encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase,EC:2.5.1.10
AT1G49530,GGPPS1,encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase,EC:2.5.1.1
AT1G49530,GGPS6,encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase,EC:2.5.1.29
AT1G49530,GGPS6,encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase,EC:2.5.1.10
AT1G49530,GGPS6,encodes a mitochondria-targeted geranylgeranyl pyrophosphate synthase,EC:2.5.1.1
AT1G49570,NA,NA,EC:1.11.1.7
AT1G50090,AtBCAT7,NA,EC:2.6.1.42
AT1G50090,BCAT7,NA,EC:2.6.1.42
AT1G50110,BCAT6,NA,EC:2.6.1.42
AT1G50200,ACD,NA,EC:6.1.1.7
AT1G50200,ALATS,NA,EC:6.1.1.7
AT1G50430,7RED,Mutants are defective in Brassinosteroid biosynthesis (delta7-sterol-C7 reduction step) and have a dwarf phenotype.,EC:1.3.1.21
AT1G50430,DWF5,Mutants are defective in Brassinosteroid biosynthesis (delta7-sterol-C7 reduction step) and have a dwarf phenotype.,EC:1.3.1.21
AT1G50430,LE,Mutants are defective in Brassinosteroid biosynthesis (delta7-sterol-C7 reduction step) and have a dwarf phenotype.,EC:1.3.1.21
AT1G50430,PA,Mutants are defective in Brassinosteroid biosynthesis (delta7-sterol-C7 reduction step) and have a dwarf phenotype.,EC:1.3.1.21
AT1G50430,ST7R,Mutants are defective in Brassinosteroid biosynthesis (delta7-sterol-C7 reduction step) and have a dwarf phenotype.,EC:1.3.1.21
AT1G50460,ATHKL1,NA,EC:2.7.1.1
AT1G50460,HKL1,NA,EC:2.7.1.1
